equipment_id,equipment_eq_id,equipment_name,department,wo_id,date_notified,urgency,problem,status,material_cost,labor_time,work_performed_by,downtime_hours,completed_datetime,comments,attachments
154,EQ ID 154,"CNC Drilling Machine, Automatic Leveling Bar",Toilet Partitions,14774,02/20/2025,"3. Prod Affected, Not Stopped","machine cannot drill when they run a 24"" stile.",Closed and Completed,0,0.35,"Primo, Jiego and Max.",0,02/20/2025 12:00 AM,Primo Uy - 02/20/25  3:46:16 PM: The folding extension top was not extent /broken support bracket (need repair in later day) use an adjustable support to hold the top and make the material flat and square. The machine is now drilling. Without the support the material will tilt or will go out of position and the sensor cannot pick up the edges and will not run/drill. All Good now.,[]
154,EQ ID 154,"CNC Drilling Machine, Automatic Leveling Bar",Toilet Partitions,14831,02/26/2025,2. General Maint - High Priority,ME Jiego advised the brace for the table extension was not on,Closed and Completed,0,0.2,G Shinobi,0,02/25/2025 10:30 AM,Gabriel Shinobi - 02/26/25 10:35:31 AM: Reattached holding bracket. Drilled and tapped new holes. Inserts had fallen out. bracket back on. brace working ok to use machine,[]
154,EQ ID 154,"CNC Drilling Machine, Automatic Leveling Bar",Toilet Partitions,16661,07/28/2025,2. General Maint - High Priority,"Issue:
• The leveling bar drilling machine was reported to have been drilling with chipping on the bottom side (see Bottom Side Chip attachment).
o Chips large enough to be a quality issue that won’t be covered by the leveling bars.",Closed and Completed,0,0,"Eric Ramirez, Gabriel Shinobi + Manufacturing",0.5,07/31/2025 12:00 AM,"Eric Ramirez - 08/13/25  8:00:03 AM: 1.	Changing the bit
a. I purchased 2 different bits, researched and suggested by Gabriel. A Cobalt coated bit, and a Titanium Aluminum Nitride coated bit.
i.	The testing samples showed that although better than our current bit, they were not deemed to be a viable solution.
2.	Changing the descent speed of the drill bit
a.	After removing the drill head guard, we changed the speed, slower by a quarter.
b.	We found that slowing down the descent speed resulted in a tremendous positive difference compared to the original blowout
i.	The original current bit we use now when tested is largely improved and pass qualifications with no issues
1.	Manufacturing was advised to verify with each new order and material that the changed speed continues to have the same qualified results
ii.	The coated bit was observed to be even better than the current bit we currently use. Though better, the change is not necessary. I will keep the bits handy and will document the results.","[{""name"": ""Descent Speed Gauge.jpg"", ""url"": ""https://circaweb.bobrick.com/PME/Forms/DownloadAttachment/811?guid=bd4525fb-f261-4ed0-a1a5-4e351ec7ac90""}]"
155,EQ ID 155,"Shaper, Single Spindle, Northfield",Toilet Partitions,1221,04/26/2022,"3. Prod Affected, Not Stopped",Operator advised the lead that the blade needs to be changed that anything at 10'' and up needs to be closed using clamps in order to get it to close when being assembled,Closed and Completed,70,0.6,Mike Bart,0,04/26/2022 12:00 AM,Miguel Diaz - 04/26/22 12:20:02 PM: Removed blade and found it in good condition. I still replaced it noticed that the blades are not the issue its the particle board one looks cheap and is not smooth you can see the wood grains when cut it has a raggedy finish  and the other has a smooth finish and is consistent  when cut .,[]
155,EQ ID 155,"Shaper, Single Spindle, Northfield",Toilet Partitions,1570,06/03/2022,4. Prod Continuing but Affected Equipment stopped,Operator pointed out stile slit in the middle is not centered,Closed and Completed,100,0.6,Mike diaz,0,06/03/2022 12:00 AM,"Miguel Diaz - 06/03/22 12:04:45 PM: closed | Miguel Diaz - 06/03/22 12:03:45 PM: Usally the adjustment does not change so when its not cutting in the center the blade could be dull .
Replaced shaper blade its on point now .",[]
155,EQ ID 155,"Shaper, Single Spindle, Northfield",Toilet Partitions,2564,10/12/2022,1. Prod Stopped,Heard loud noise coming from the shaper cutter operator advised machine tripped and does not turn back ON .,Closed and Completed,0,0.5,Mike Diaz,0,10/12/2022 12:00 AM,Miguel Diaz - 10/12/22  9:34:46 AM: Found blade warped and got hot spots replaced blade for operator need tpf team to learn to replace the blade .,[]
155,EQ ID 155,"Shaper, Single Spindle, Northfield",Toilet Partitions,2953,10/18/2022,"5. Prod Ongoing, Maint Required",Operator and lead advised blade may need to be changed,Closed and Completed,0,0.5,Mike d,0,10/18/2022 12:00 AM,Miguel Diaz - 10/18/22  9:56:50 AM: Provided the tools to do the blade change and observed the operator while he changed the blades .Jose Meza did the blade replacement .,[]
155,EQ ID 155,"Shaper, Single Spindle, Northfield",Toilet Partitions,6267,06/29/2023,6. General Maint,Operators requested  we replace the blade for them the old blade is too tight .,Closed and Completed,0,0.4,Mike Diaz,0,06/29/2023 12:00 AM,Miguel Diaz - 06/29/23  1:17:18 PM: Old blade kerf is at .132 should be at .135 replaced blade  with kerf at .135 .,[]
155,EQ ID 155,"Shaper, Single Spindle, Northfield",Toilet Partitions,9464,12/28/2023,"3. Prod Affected, Not Stopped",Operator advised the center cut line is not in the center,Closed and Completed,0,0.6,Max Mike,0.4,12/28/2023 12:00 AM,"Miguel Diaz - 12/28/23  9:22:36 AM: Operator is fairly new in the line and advised the stiles are lifting up when cutting he asked another operator to look at it that's when they called me for help found the center line moved this line has not moved in a year only way to move it is by someone moving the handwheel or by accident and someone touching the handwheel .found blade with sever burn marks and warped .
replaced blade and adjusted height back to 3/8 cut line . 
Open attachments to view pictures if needed","[{""name"": ""ss1.jpg"", ""url"": ""https://circaweb.bobrick.com/PME/Forms/DownloadAttachment/485?guid=9ecab6c3-b656-4c1b-befc-d04bb1139052""}, {""name"": ""ss2.jpg"", ""url"": ""https://circaweb.bobrick.com/PME/Forms/DownloadAttachment/486?guid=9ecab6c3-b656-4c1b-befc-d04bb1139052""}]"
157,EQ ID 157,"Sissors Lift, HolzHer Saw",Toilet Partitions,18031,12/29/2025,1. Prod Stopped,HOLZHER saw not working,Closed and Completed,20,1,Max & Gabriel,0,12/29/2025 01:00 PM,Maksim Bushka - 12/29/25 12:58:45 PM: Found an air hose leaking. Replaced the connection and a section of hose,[]
